season,round_num,round_name,start_date,end_date
2022,1,Bahrain,2022-03-18,2022-03-20
2022,2,Saudi Arabia,2022-03-25,2022-03-27
2022,3,Australia,2022-04-08,2022-04-10
2022,4,Emiglia Romagna,2022-04-22,2022-04-24
2022,5,Miami,2022-05-06,2022-05-08
2022,6,Spain,2022-05-20,2022-05-22
2022,7,Monaco,2022-05-27,2022-05-29
2022,8,Azerbaijan,2022-06-10,2022-06-12
2022,9,Canada,2022-06-17,2022-06-19
2022,10,Great Britain,2022-07-01,2022-07-03
2022,11,Austria,2022-07-08,2022-07-10
2022,12,France,2022-07-22,2022-07-24
2022,13,Hungary,2022-07-29,2022-07-31
2022,14,Belgium,2022-08-26,2022-08-28
2022,15,Netherlands,2022-09-02,2022-09-04
2022,16,Italy,2022-09-09,2022-09-11
2022,17,Singapore,2022-09-30,2022-10-02
2022,18,Japan,2022-10-07,2022-10-09
2022,19,United States,2022-10-21,2022-10-23
2022,20,Mexico,2022-10-28,2022-10-30
2022,21,Brazil,2022-11-11,2022-11-13
2022,22,Abu Dhabi,2022-11-18,2022-11-20